нивхский язык [Сахалин]					
айнский язык [Хоккайдо (север Японии)]					
бурушаски [Кашмир (северо-восток Пакистана)]					
баскский язык [Страна Басков (север Испании, юго-запад Франции)]  					
Индоевропейская семья					
		лесной ненецкий язык [ЯНАО (=Ямало-ненецкий автономный округ), ХМАО (=Ханты-мансийский автономный округ)]			
		энецкий язык [север Красноярского края]			
		нганасанский язык [север Красноярского края]			
		селькупские языки [Томская область, ЯНАО (=Ямало-ненецкий автономный округ)]			
Тюркская семья					
	чувашский язык [Чувашия]				
	якутский язык [Якутия]				
	тувинский язык [Тыва]				
	хакасский язык [Хакассия]				
	башкирский язык [Республика Башкортостан, Челябинская область]				
	кумыкский язык [север Дагестана]				
	татарский язык [Республика Татарстан, республика Башкортостан]				
	ногайский язык [север Дагестана, Ставропольский Край, Карачаево-Черкесия]				
	карачаево-балкарский язык [Карачаево-Черкесия, Кабардино-Балкария]				
	караимский язык [Республика Крым; юго-восток Литвы]				
	крымско-татарский язык [Республика Крым]				
	каракалпакский язык [Каракалпакстан (северо-запад Узбекистана)]				
	азербайджанский язык [Азербайджан, юг Грузии, юг Дагестана]				
	гагаузский язык [Молдавия (=Молдова), юго-восток Украины]				
	казахский язык [Казахстан, Астраханская область]				
	турецкий язык [Турция]				
	киргизский язык [Киргизия (=Кыргызстан)]				
	узбекский язык [Узбекистан (юг), север Пакистана]				
	туркменский язык [Туркменистан]				
	уйгурский язык [Синьцзян (северо-запад Китая)]				
Монгольская семья					
	монгольский язык [Монголия, север Китая]				
	бурятский язык [Бурятия, Иркутская область, Забайкальский край]				
	калмыцкий язык [Калмыкия]				
Тунгусо-маньчжурская семья					
	эвенкийский язык [Якутия, Хабаровский край, Красноярский край]				
	эвенский язык [Якутия, Магаданская область]				
	нанайский язык [Хабаровский край]				
	негидальский язык [Хабаровский край]				
	удэгейский язык [Приморский край, Хабаровский край]				
	маньчжурский и сибинский языки [север Китая] 				
Японо-рюкюская семья					
	японский язык [Япония, Республика Палау]				
Корейская семья					
	корейский язык [Северная Корея (=КНДР), Южная Корея (=Республика Корея)]				
Енисейская семья					
	кетский язык [юго-запад Красноярского края]				
Юкагирская семья					
	тундренный юкагирский (северноюкагирский) язык [северо-восток Якутии]				
	колымский юкагирский (южноюкагирский) язык [северо-восток Якутии]				
Чукотско-камчатская семья					
	Чукотско-корякская ветвь				
		чукотский язык [Чукотка (=Чукотский автономный округ) (=ЧАО)]			
		корякский язык [Камчатский край (=Камчатка)]			
		алюторский язык [Камчатский край (=Камчатка)]			
	Ительменский язык [Камчатский край (=Камчатка)]				
Эскимосско-алеутская семья					
	Эскимосская ветвь [Чукотка (=Чукотский автономный округ) (=ЧАО), Аляска (северо-запад США), Канада (север), Гренландия]				
	Алеутская ветвь [Алеутские острова, Аляска (северо-запад США)]				
Абхазо-адыгская семья					
	кабардинский язык [Кабардино-Балкария]				
	адыгейский язык [Адыгея, Краснодарский край]				
	абхазский язык [Абхазия]				
	абазинский язык [Карачаево-Черкесия]				
	убыхский язык (†)				
Картвельская семья					
	грузинский язык [Грузия]				
	сванский язык [северо-запад Грузии]				
	лазский язык [север Турции]				
	мегрельский язык [северо-запад Грузии, Абхазия]				
Сино-тибетская семья					
	китайские языки [Китай]				
Дравидийская семья					
	брагуи (брауи) [Пакистан (запад)]				
	телугу [юго-восток Индии]				
	тамильский язык [юг Индии, Шри-Ланка]				
	каннада [юго-запад Индии]				
	малаялам [юго-запад Индии]				
Афразийская макросемья					
	Кушитская семья [Сомали, Эфиопия, Эритрея, Джибути, Кения]				
	Берберо-канарская семья [Алжир, Марокко, Мали, Нигер, Ливия, Туниз]				
	Чадская семья [Нигерия, Нигер, Чад]				
	Омотская семья [Эфиопия, Судан]				
	Египетская семья [Египет]				
		коптский язык (†)			
	Семитская семья				
		древнееврейский язык (библейский иврит) (†)			
		иврит [Израиль]			
		арабский язык [Саудовская Аравия, ОАЭ (=Объединённые Арабские Эмираты), Оман, Йемен, Ирак, Иордания и др.]			
		геэз (†)			
		амхарский язык [Эфиопия]			
		тигринья [Эфиопия, Эритрея]			
		ассирийский новоарамейский язык [Ирак]			
		сирийский язык (†)			
